BirdID	Sex	Tarsus	BillL	BillW	Tail	Wing	Weight
TA14502	F	18.8	13.1	6.5	52.3	72.7	26.8
TA14502	F	18.2	13.3	6.6	51	71	27.3
TA14502	F	18.3	13.4	6.5	52	71	29.8
TA14505	F	18.1	13	6.3	58	75	30
TA14505	F	18	13.2	6.1	57	77.5	26.4
TA14505	F	18.2	12.8	6	57	77	25.8
TA14506	F	18.1	13.3	6.3	55	75	25.7
TA14506	F	18.8	12.8	6.1	56	75	24.6
TA14507	F	18.1	13.3	6.5	56	74	25.8
TA14507	F	18.2	13	6.2	58	76	26.4
TA14509	M	18.1	13.3	6.4	59.5	78	26.3
TA14509	M	18.1	13.2	6.3	59	77	25.3
TA14509	M	18.2	12.3	6.2	60	79	25.1
TA14509	M	18.4	13.4	6.1	61	79	24
TA14513	F	17.1	12.8	6.3	54	73.5	24.8
TA14513	F	17.4	12.9	6.1	56	74.7	24.5
TA14513	F	17.6	12.4	6	56	75	25.2
TA14516	M	18.8	13.2	6.6	60	80	28
TA14516	M	19	13.5	7.1	60	88	31.3
TA14518	M	19.4	13.8	6.8	60	80	29.4
TA14518	M	18.8	13.5	6.9	59	84.5	30.6
TA14518	M	19.3	13.4	6.6	61	81	28.2
TA14522	F	18.5	13.5	6.3	58.3	77.8	26.8
TA14522	F	18.4	13.2	6.4	55	76	28.4
TA14525	F	19.2	14	6.5	57	78	27.6
TA14525	F	19.2	13.9	6.4	56	77	27.8
TA14525	F	19.2	14	6	59	79	28.8
TA14528	M	16.9	12.5	6.3	56.7	79	25.3
TA14528	M	16.9	12	6	55	77	25.5
TA14528	M	17.1	12.2	6	59	79	25.7
TA14529	M	20.2	13.9	6.7	61.3	82	29.1
TA14529	M	20.2	14.1	6.5	62	83	30.6
TA14529	M	20.3	14.4	6.5	63	84	30.9
TA14530	F	19.1	13.4	7	58	77	26.8
TA14530	F	19	13	7	55	77	29.3
TA14530	F	19.1	13	6.8	60	78	29
TA14530	F	19	13.5	7	59	78	29
TA14531	M	20	12.7	6.8	59	80.3	30.3
TA14531	M	20	13	7.1	57	76	30.3
TA14531	M	20.3	12.7	6.5	61	82	31.6
TA14531	M	20.2	13.3	6.9	62	81	31.8
TA14532	F	20.4	14	6.5	57	77	29.9
TA14532	F	20.2	13.5	6.9	56	77	29.3
TA14532	F	20.8	13.6	6.6	59.5	78.5	30.4
TA14532	F	20.8	13.7	6.1	60	80	32.6
TA14541	M	17.5	12.9	6.7	61	80	27
TA14541	M	18	13	6.7	63	81	25
TA14548	F	18.8	14.3	6.9	57	75.5	26.6
TA14548	F	18.7	13.9	6.9	57	75	25.8
TA14548	F	18.8	14.7	6.5	57.5	76.5	27.1
TA14548	F	19	14.6	6.5	58	67	25.5
TA14549	F	18.2	13.3	6.6	56	75	28.4
TA14549	F	18	13.9	6.8	54	75	26
TA14549	F	18.4	12.8	6.5	58	76	24.4
TA14553	M	18.9	14	6.5	57	80	26.8
TA14553	M	19	13.4	6.5	NA	78	28
TA14553	M	18.1	13.5	6.4	60	80	29.2
TA14554	F	19	13.6	6.4	56	76	28.4
TA14554	F	19.2	13.1	6.3	53	74	32.8
TA14554	F	19	13	6.3	56.5	77	28.1
TA14554	F	19.4	13.2	6.1	57	76	28.6
TA14561	F	18.5	13.9	6.7	55.5	76.3	28.2
TA14561	F	18.4	14	6.6	55	76	26.8
TA14561	F	18.6	13.9	6.1	59	78	26.1
TA14565	F	18.7	13.1	6.4	54.8	74.8	25.6
TA14565	F	18.4	13.1	6.6	52	74	25.9
TA14565	F	18.8	13.3	6.4	55	76	26.9
TA14565	F	18.7	13.6	6.5	54	76	25.2
TA14571	M	19.3	12.6	6.5	61.7	81.7	27.1
TA14571	M	18.9	13	6.7	61	82	28.8
TA14573	M	19.1	13.4	6.5	60	82.5	29
TA14573	M	18.5	12.8	6.3	59	81	29.8
TA14573	M	19.2	13.3	6.3	62.5	83.5	29.8
TA14573	M	19.7	13	6.4	63	84	30.2
TA14574	M	18.4	13.1	6.7	60.5	80.5	25.7
TA14574	M	18.4	12.9	6.4	62	81.7	27.6
TA14581	M	18.2	13	6.5	57.5	78	26.7
TA14581	M	18.1	13.1	6.3	58.5	78.5	28.5
TA14581	M	18.3	13.1	6.5	59	79	25.6
TA14586	F	18.4	13.1	6.4	58.7	78.3	27.5
TA14586	F	18.4	13.2	6.5	55	77.5	23.5
TA14586	F	18.5	13.5	6.4	59	79	27.5
TA14586	F	18.7	13.4	6.3	NA	78.5	26.3
TA14598	M	18.4	14.7	6.3	59.5	78	27.8
TA14598	M	18.5	14.8	6.5	59	78	27
TA14598	M	18.6	14.7	6.6	60	79	27.7
TA14599	M	19.4	14	6.9	60.5	79.7	30
TA14599	M	19.4	14.2	7.1	55	78	29
TA14600	F	18.5	14.1	6.5	55	75	28.5
TA14600	F	18.4	13.5	6.4	57	78	28
TA14600	F	18.6	13.8	6.1	58	76	28.2
TA14601	F	19.3	13.1	6.3	59	78.7	27
TA14601	F	19.4	13	6.5	NA	76	25.5
TA14601	F	19.2	12.1	6.3	60	78	25.3
TA14601	F	19.1	13	6.2	59	79	27.5
TA14604	F	19	14.1	6.4	58	78	29
TA14604	F	19.4	13.6	6.3	60.5	79	30.7
TA14604	F	19.4	13.4	6	61	79	29.6
TA14606	F	17.3	12.1	6.4	55.7	75	27.5
TA14606	F	17.3	11.8	6.5	55.5	74	27.5
TA14606	F	17.3	11.9	6.1	57	75.5	27.3
TA14606	F	17.4	12	6.2	57	77	26.1
TA14607	F	18.5	12.8	6.1	58	77	28
TA14607	F	18.4	12.4	6.4	59	78	27.9
TA14608	F	18.5	NA	NA	NA	75	27.3
TA14608	F	18.3	13.3	6.8	57	74	29
TA14610	F	17.7	13.1	7	55.5	74.5	27.6
TA14610	F	17.7	13.5	6.4	59	76	24.8
TA14612	M	19	12.3	6.7	62	80	26.8
TA14612	M	19.1	13.1	6.5	61	81	27
TA14630	M	18.3	NA	NA	NA	79	27
TA14630	M	18.5	13.4	6.6	55	77	26.8
TA14638	F	19.8	14	6.6	58	80	32.5
TA14638	F	19.6	13.8	6.5	60	80.5	31.6
TA14638	F	19.9	14	6.7	60	81	33
TA14644	M	20	12.9	6.2	57	79	27
TA14644	M	19.7	12.8	6.5	57	78	28.3
TA14644	M	19.9	12.8	6.6	58.5	80	28.9
TA14645	F	19.1	12.9	6.2	54	76	26.5
TA14645	F	19	12.8	6.2	54	75	26.1
TA14645	F	18.9	12.3	6	57.5	76.5	26.9
TA14645	F	19.3	12.4	6.1	57	77	27.1
TA14647	M	19.3	14.3	6.6	59.5	79.5	27.8
TA14647	M	19.4	13.1	6.4	61	80	27.8
TA14647	M	19.5	14	6.5	60	81	29.6
TA14649	M	17.2	12.5	6	56	77	27
TA14649	M	17.2	13.5	6.7	60	79	26.1
TA14651	M	17.4	12.9	6.1	54	76.3	26.2
TA14651	M	17.5	12.7	6.4	52	74	25.5
TB09016	F	17	NA	NA	NA	75	27.3
TB09016	F	17	12.1	6	59	77	25.2
TB09016	F	17	12.5	6.2	59	77	24.1
TB09019	F	18.3	13.2	6.2	59	78	25.5
TB09019	F	18.5	12.8	6	60.7	78.3	27
TB09027	M	17.6	13	6.8	55.5	76	25.8
TB09027	M	17.7	12.6	6.6	55.5	77	27.6
TB09027	M	17.8	12.8	6.5	57	76	27.8
TB09036	F	17.5	13.4	6.4	56	75.7	27
TB09036	F	17.8	13	6.5	58	76.5	27.6
TB09036	F	18	13	6.1	59	76	25.4
TB09046	M	19.9	12.9	6.4	59	81	26
TB09046	M	20	12.8	6.2	61	82	25.2
TB09046	M	19.8	13	6.2	62	82	28
TB09047	F	18.5	13.3	6.5	59	76.7	25.8
TB09047	F	18.8	13.5	6.8	59.5	77	27
TB09047	F	18.6	13.9	6.8	60	77	26.5
TB09054	M	18.8	13.4	6.7	57	78	30
TB09054	M	19.2	13.7	6.8	60	79	28
TB09055	M	19	14.3	7.1	57.5	77	27
TB09055	M	18.8	13.9	7	59	77	27.6
TB09062	M	19.2	13.7	6.7	57	78	28.6
TB09062	M	19.4	12.7	6.5	58	80	26
TB09067	F	18.3	NA	NA	NA	78	27.3
TB09067	F	18.5	13.5	6.9	59	78	28.1
TB09067	F	18.7	13.6	6.8	59	77	26.8
TB09068	F	18.5	13.4	6.7	57	76	26.4
TB09068	F	18.3	13.2	6.5	58.7	76.7	28.4
TB09068	F	18.6	12.8	6.1	60	77	25.5
TB09069	F	17	13.5	7	55	77	29.5
TB09069	F	17.8	13.7	6.7	57	78	30.6
TB09070	F	20.1	14	6.5	56	77	28.2
TB09070	F	19.9	14	6.7	57	78	27.8
TB09070	F	19.5	14.3	6.4	58	78	30
TB09072	F	18	13.5	6.7	57	79	25.2
TB09072	F	18.1	NA	NA	NA	NA	27.5
TB09072	F	18.4	13.2	6.5	58	78	26
TB09072	F	18.1	13.3	6.2	58	78	29.2
TB09077	F	17.6	NA	NA	NA	73	28.8
TB09077	F	17.8	13.5	6.4	55	74	27.6
TB09077	F	18	13.2	6.5	52	74	28.5
TB09084	F	18.4	13	6.5	53	76	27.8
TB09084	F	18.5	13.3	6.3	55.5	76.5	28.8
TB09084	F	18.7	13.9	6.3	56	77	26.8
TB09089	F	18.5	13	6.8	53	77	26
TB09089	F	18.8	13	6.6	56.3	76.7	29.1
TB09089	F	19.1	12.5	6.2	56	77	28.8
TB09091	M	18.8	13.8	6.4	56	79	29.4
TB09091	M	18.9	14	6.3	58	79.5	28.8
TB09091	M	18.8	13.6	6.4	58	80	28.7
