FemaleID	Season	PairedYN	PairedBothSeasons	OwnClutchesBothSeasons	OwnClutches	HostClutches	HostYN	cbpEggs	cbpYN	nEggs
4142	2005	1	1	1	2	0	0	0	0	16
4142	2006	1	1	1	3	0	0	0	0	20
4156	2005	1	1	1	1	0	0	8	1	15
4156	2006	1	1	1	1	1	1	5	1	12
4175	2005	1	1	1	3	1	1	0	0	15
4175	2006	1	1	1	1	0	0	0	0	4
4191	2005	0	0	1	2	1	1	0	0	10
4191	2006	1	0	1	2	0	0	1	1	11
4203	2005	1	1	1	3	1	1	0	0	16
4203	2006	1	1	1	2	0	0	0	0	16
4220	2005	1	1	1	2	0	0	0	0	8
4220	2006	1	1	1	1	0	0	0	0	7
4227	2005	1	1	1	3	1	1	3	1	24
4227	2006	1	1	1	2	1	1	1	1	16
4228	2005	1	1	1	3	0	0	0	0	14
4228	2006	1	1	1	2	0	0	0	0	20
4229	2005	1	0	1	3	2	1	0	0	26
4229	2006	0	0	1	2	0	0	0	0	16
4231	2005	1	1	1	3	0	0	0	0	17
4231	2006	1	1	1	3	0	0	0	0	22
4233	2005	1	0	0	1	1	1	2	1	15
4233	2006	0	0	0	0	0	0	4	1	9
4241	2005	1	1	1	1	0	0	1	1	14
4241	2006	1	1	1	2	0	0	6	1	17
4249	2005	1	1	1	2	1	1	0	0	10
4249	2006	1	1	1	2	0	0	1	1	10
4254	2005	1	0	0	2	1	1	0	0	20
4254	2006	0	0	0	0	0	0	0	0	0
4272	2005	0	1	0	0	0	0	1	1	9
4272	2006	0	1	0	0	0	0	2	1	8
4276	2005	1	1	1	3	0	0	0	0	12
4276	2006	1	1	1	3	1	1	0	0	13
4281	2005	0	0	1	1	1	1	0	0	9
4281	2006	1	0	1	1	0	0	4	1	14
4283	2005	1	1	0	0	0	0	0	0	13
4283	2006	1	1	0	2	1	1	0	0	11
4302	2005	1	1	1	2	0	0	2	1	15
4302	2006	1	1	1	2	1	1	0	0	10
4325	2005	1	1	1	2	1	1	2	1	11
4325	2006	1	1	1	3	0	0	0	0	28
4345	2005	1	1	1	3	2	1	1	1	16
4345	2006	1	1	1	2	0	0	6	1	22
4347	2005	0	0	0	0	0	0	0	0	14
4347	2006	1	0	0	3	2	1	0	0	13
4358	2005	1	1	1	2	0	0	0	0	13
4358	2006	1	1	1	3	0	0	0	0	13
4359	2005	1	1	1	4	0	0	0	0	17
4359	2006	1	1	1	3	0	0	0	0	10
4361	2005	1	1	1	3	0	0	0	0	14
4361	2006	1	1	1	3	1	1	0	0	9
4362	2005	1	1	1	2	1	1	4	1	33
4362	2006	1	1	1	3	1	1	0	0	12
4368	2005	0	0	1	1	0	0	2	1	12
4368	2006	1	0	1	2	1	1	1	1	23
4385	2005	1	1	1	3	0	0	1	1	13
4385	2006	1	1	1	2	0	0	0	0	11
4396	2005	1	1	1	3	2	1	0	0	14
4396	2006	1	1	1	2	0	0	0	0	17
4405	2005	0	0	1	1	0	0	0	0	14
4405	2006	1	0	1	3	1	1	0	0	16
4413	2005	1	1	1	2	1	1	0	0	19
4413	2006	1	1	1	3	0	0	0	0	15
4415	2005	1	1	1	4	1	1	0	0	14
4415	2006	1	1	1	2	0	0	0	0	11
4442	2005	0	0	0	0	0	0	0	0	8
4442	2006	1	0	0	3	0	0	0	0	16
4444	2005	0	0	0	0	0	0	0	0	0
4444	2006	1	0	0	2	0	0	0	0	12
4455	2005	1	1	1	3	0	0	0	0	15
4455	2006	1	1	1	3	0	0	0	0	17
4459	2005	1	1	1	3	1	1	0	0	11
4459	2006	1	1	1	2	0	0	0	0	16
4465	2005	1	1	1	2	1	1	0	0	12
4465	2006	1	1	1	3	0	0	0	0	23
4467	2005	1	1	1	3	1	1	1	1	15
4467	2006	1	1	1	2	0	0	0	0	16
4474	2005	0	1	0	1	0	0	0	0	8
4474	2006	0	1	0	0	0	0	0	0	0
4478	2005	0	0	0	0	0	0	1	1	20
4478	2006	1	0	0	4	2	1	0	0	21
4479	2005	1	1	1	1	1	1	3	1	12
4479	2006	1	1	1	2	0	0	3	1	14
4485	2005	1	1	1	2	0	0	1	1	21
4485	2006	1	1	1	3	0	0	0	0	23
4490	2005	0	1	0	0	0	0	15	1	27
4490	2006	0	1	0	0	0	0	1	1	15
4493	2005	1	1	1	3	0	0	0	0	20
4493	2006	1	1	1	4	1	1	0	0	16
4494	2005	1	1	1	2	1	1	2	1	24
4494	2006	1	1	1	2	0	0	1	1	24
4503	2005	1	1	1	1	1	1	0	0	6
4503	2006	1	1	1	3	0	0	0	0	16
4517	2005	1	1	1	3	1	1	0	0	20
4517	2006	1	1	1	4	0	0	0	0	21
4518	2005	1	1	1	2	0	0	1	1	11
4518	2006	1	1	1	2	0	0	0	0	9
4525	2005	1	1	1	3	0	0	0	0	14
4525	2006	1	1	1	3	0	0	2	1	18
4526	2005	1	1	1	3	2	1	0	0	12
4526	2006	1	1	1	3	1	1	0	0	15
4531	2005	0	1	0	0	0	0	0	0	20
4531	2006	0	1	0	0	0	0	10	1	29
4532	2005	0	1	0	0	0	0	0	0	21
4532	2006	0	1	0	3	1	1	0	0	37
4534	2005	0	1	0	0	0	0	0	0	1
4534	2006	0	1	0	0	0	0	2	1	5
