MaleID	Age	Fledge
TA14509	2	4
TA14509	3	4
TA14518	2	2
TA14518	3	9
TA14528	2	5
TA14528	3	3
TA14529	2	0
TA14529	3	2
TA14531	2	4
TA14531	3	8
TA14541	2	3
TA14541	3	3
TA14553	2	2
TA14553	3	6
TA14573	2	2
TA14573	3	3
TA14574	2	5
TA14574	3	7
TA14581	2	3
TA14581	3	6
TA14598	2	3
TA14598	3	3
TA14612	2	0
TA14612	3	4
TA14644	2	2
TA14644	3	3
TA14647	2	7
TA14647	3	4
TB09027	1	3
TB09027	2	4
TB09046	1	2
TB09046	2	6
TB09055	1	1
TB09055	2	6
TB09091	1	0
TB09091	2	5
TB09109	1	2
TB09109	2	11
TB09115	1	3
TB09115	2	6
TB09129	1	1
TB09129	2	7
TB09173	1	0
TB09173	2	7
TB09199	1	5
TB09199	2	1
TB09229	1	2
TB09229	2	4
TB09236	1	3
TB09236	2	0
VS06799	5	4
VS06799	6	5
VS50136	2	3
VS50136	3	3
VS50140	2	6
VS50140	3	4
VV78215	4	3
VV78215	6	5
VV78261	4	0
VV78261	5	4
VX04201	3	5
VX04201	4	2
VX04207	3	0
VX04207	4	2
VX04208	3	3
VX04208	4	8
VX04229	3	3
VX04229	4	5
VX04284	3	4
VX04284	4	2
VX04286	3	5
VX04286	4	5
VX04306	4	6
VX04306	5	9
VX04326	4	4
VX04326	5	5
VX04353	4	4
VX04353	5	8
VX04365	4	7
VX04365	5	7
VX04378	4	0
VX04378	5	10
VX04406	3	2
VX04406	4	7
VX04422	3	7
VX04422	4	6
VX04447	3	3
VX04447	4	3
VX04486	2	6
VX04486	3	5
VX04489	2	2
VX04489	3	0
VX04490	2	5
VX04490	3	5
